a coalition of business and agricultural groups	a coalition of business and agricultural groups	parsed
A coalition of business and employer organizations, including the California Chamber of Commerce, is in opposition and	California Chamber of Commerce	parsed
A coalition of business and technology industry associations	a coalition of business and technology industry associations	parsed
a coalition of business and tort reform advocates including the California Chamber of Commerce	California Chamber of Commerce	parsed
a coalition of business and tort reform advocates who	a coalition of business and tort reform advocates	parsed
A coalition of business groups	a coalition of business groups	parsed
a coalition of business groups	a coalition of business groups	parsed
A coalition of business groups led by CalChamber	CalChamber	parsed
a coalition of business groups led by the Glass Packaging Institute	Glass Packaging Institute	parsed
A coalition of business groups, such as CompTIA, CalChamber, and TechNet	CompTIA, CalChamber, and TechNet	parsed
A coalition of business interests including the chemical and upholstered furniture industries	a coalition of business interests including the chemical and upholstered furniture industries	parsed
A coalition of business organizations	a coalition of business organizations	parsed
A coalition of business organizations, including the California Chamber of Commerce and the Western	California Chamber of Commerce	parsed
A coalition of business organizations, including the California Chamber of Commerce, is opposed and	California Chamber of Commerce	parsed
A coalition of business, construction, manufacturing and other regulated entities are concerned the bill will incentivize the imposition of fines and penalties at the expense of due process, rather	a coalition of business, construction, manufacturing and other regulated entities	parsed
A coalition of businesses in the debt collection industry and business trade associations	a coalition of businesses in the debt collection industry and business trade associations	parsed
A coalition of businesses led by CalChamber writes	CalChamber	parsed
A coalition of California Native American tribes and wildlife agencies	a coalition of California Native American tribes and wildlife agencies	parsed
A coalition of California Native American tribes and wildlife organizations write	a coalition of California Native American tribes and wildlife organizations	parsed
A coalition of cardrooms writes in "On behalf of Hawaiian Gardens Casino	Hawaiian Gardens Casino	parsed
A coalition of children's and environmental advocates	a coalition of children's and environmental advocates	parsed
a coalition of cities	a coalition of cities	parsed
A coalition of civil rights groups and disability advocates writes that they are	a coalition of civil rights groups and disability advocates	parsed
A coalition of civil rights organizations, including ACLU California Action, Disability Rights California, the National Organization for Women and others, opposed	ACLU California Action, Disability Rights California, the National Organization for Women	parsed
A coalition of civil rights organizations, including ACLU California Action, Disability Rights California, the National Organization for Women and others, opposed unless amended	ACLU California Action, Disability Rights California, the National Organization for Women	parsed
A coalition of civil, minority, and immigrant rights organizations including the Anti-Defamation League, Common Sense, and the California League of United Latin American Citizens	Anti-Defamation League, Common Sense, and the California League of United Latin American Citizens	parsed
a coalition of clean energy	a coalition of clean energy	parsed
A coalition of clean vehicle and infrastructure technology companies and stakeholders	a coalition of clean vehicle and infrastructure technology companies and stakeholders	parsed
A coalition of community and consumer organizations is	a coalition of community and consumer organizations	parsed
A Coalition of Companies (Acxiom	Acxiom	parsed
A coalition of conservation and environmental justice organizations	a coalition of conservation and environmental justice organizations	parsed
A coalition of conservation and environmental organizations write with a	a coalition of conservation and environmental organizations	parsed
a coalition of consumer advocates	a coalition of consumer advocates	parsed
A coalition of consumer advocates and interest groups	a coalition of consumer advocates and interest groups	parsed
A coalition of consumer and privacy groups including ACLU, Electronic Frontier Foundation, Common Sense Kids Action, Consumer Federation, Privacy Rights Clearinghouse, among others	ACLU, Electronic Frontier Foundation, Common Sense Kids Action, Consumer Federation, Privacy Rights Clearinghouse	parsed
a coalition of consumer groups	a coalition of consumer groups	parsed
a coalition of consumer groups who worry that without a corresponding increase in discovery limits and reworked fee provisions the expansion of limited civil jurisdiction will undermine litigants	a coalition of consumer groups	parsed
A coalition of contractor and business organizations, including the Associated General Contractors, is opposed and	Associated General Contractors	parsed
a coalition of criminal justice reform advocates	a coalition of criminal justice reform advocates	parsed
a coalition of criminal justice reform and legal organizations	a coalition of criminal justice reform and legal organizations	parsed
