is the primary enforcer of financial regulatory rules. In support of this argument, MICA has provided the Committee with documentation from	MICA	parsed
is the proper agency to assume this function		none_parsed
is the reason a majority of the local electorate is require to increase a		none_parsed
is to provide maintenance and		none_parsed
is to provide them with a biased view that does not allow them to make		none_parsed
is unclear and ultimately ineffective. "First, the bill offers no clarity		none_parsed
is unclear if charter cities would be subject to the bill's provisions		none_parsed
is unclear. A clarifying amendment is needed		none_parsed
is unclear. In 1993, the total amount of fines levied against		none_parsed
is undefined and could be used to prevent them from financing		none_parsed
is under $1 million		none_parsed
is unfair to simply impose a blanket prohibition		none_parsed
is unnecessary and could overburden non-NEM customers. The PUC	PUC	parsed
is unnecessary and unwise to specify in statute how care is to		none_parsed
is unnecessary because current law establishes a multi-step process to		none_parsed
is unnecessary to ensure that school districts and county offices of education establish and		none_parsed
is unreasonable and unnecessary		none_parsed
is urgently needed because of the looming excise tax, which will increase		none_parsed
is vague and overinclusive, and raises significant constitutional concerns		none_parsed
is working with the author to fashion a system of graduated and lesser penalties		none_parsed
is, should the state underwrite the federal government for the cost of prosecution and incarceration		none_parsed
is, those least likely to need health insurance and most able		none_parsed
ISE Transportation recharged	ISE Transportation	parsed
Islands. The bill provides an exemption to existing law that		none_parsed
isolation room to appropriately care for a patient with a HAI and must		none_parsed
Israel is a state with policies and actions that California′s students have a right to examine through a variety of lenses, just as they would examine the policies and actions of the United		none_parsed
issue of domestic abuse in the LGBT community, and does not		none_parsed
issue paychecks that can be cashed without reduction		none_parsed
issue where dairy, bakery, and soft drink industries need to make sure		none_parsed
issued and the funds have reverted to the General Fund. For these		none_parsed
issued and the monies have reverted to the General Fund		none_parsed
issued and the monies have reverted to the GF		none_parsed
issued by the venue operator		none_parsed
issued in 2003-04 for tests taken in the year 2003. (ECS 69999.3)		none_parsed
issues and requests an amendment to resolve these problems		none_parsed
issues for care management		none_parsed
Issues Forum, San Diego, Sierra Club California	Sierra Club California	parsed
issues have been identified with regard the timing of closures, sale of DC properties, movement of residents, and availability of community placements for former DC residents		none_parsed
issues should be determined by the best interests of the child, not by the nature or status or the legal relationship		none_parsed
issues specific to communities of color, specifically increasing culturally and linguistically competent services and supporting practices aimed to		none_parsed
issues that are less relevant to California's needs but which must be		none_parsed
issues, which will ultimately impact the overall success of public safety realignment		none_parsed
it allegedly aids polluters? While well intentioned, without tighter		none_parsed
it allowed apportionment of the disability to other causes		none_parsed
