modified in some way. To tarnish the reputations of CPAs who have not		none_parsed
modify its membership policies, approving a resolution providing that		none_parsed
modify municipal employee pension plans raises a public interest concern, specifically with respect to the accuracy of such a proposal's fiscal		none_parsed
modify treatment requests. Many treating physicians have complained	Many treating physicians	parsed
modify unsafe handguns to single shot weapons for the purpose of the sale, after which they are readily converted back to semiautomatic		none_parsed
modifying the authorization after the provider renders the health care		none_parsed
money for basic functions is scarce and stretched thin, we would not be		none_parsed
money for local services to do so, without forcing the same of residents		none_parsed
monies, which are in short supply, fund local transit operations		none_parsed
monitoring devices, to allow the state to monitor how these buildings		none_parsed
monitoring programs because they are unable to accrue credits that they		none_parsed
monitors the political activity of non-profits, which are		none_parsed
months could undermine that policy goal. The PUC is also	PUC	parsed
months to every two months. I recognize this action will not solve the problems faced by the Fund, but, with the cooperation of those who pay		none_parsed
months, 2 or 3 years		none_parsed
months, 2, or 3 years in state prison and/or a fine of up		none_parsed
months, and if clemency is not granted, executions will		none_parsed
months, two, or three years in state prison and/or a fine of up to $100,000		none_parsed
moral principles. They		none_parsed
more administrative resources for reporting. Health plans and insurers	Health plans and insurers	parsed
more ambitious and expensive than the unsuccessful and costly		none_parsed
More animals will be turned into shelters or left abandoned. Who will		none_parsed
more appropriate for the courts or the local district attorney to		none_parsed
more appropriate to simply replace the California Rescue and Paramedic Association appointment with one provided by the California Labor Federation, thus keeping the membership at 16	California Rescue and Paramedic Association	parsed
more carefully defining adverse events subject to reporting by hospitals		none_parsed
more comprehensive execution of the plan		none_parsed
more confidential data than the NCLB Act dictates		none_parsed
more difficult for pharmacists to abide their consciences		none_parsed
more difficult to provide reasonable automotive financing for consumers		none_parsed
more estate protection for the next generation may be a reasonable		none_parsed
more frictional costs of the very sort we are trying to eliminate		none_parsed
More fully utilizing the data available to education institutions and the resources available to students would further California's goal		none_parsed
more global knowledge qualification before removing its opposition		none_parsed
more individuals from purchasing coverage. CAHP	CAHP	parsed
More information about the state of the law, and other issues related to		none_parsed
more like		none_parsed
more pathways		none_parsed
more qualified to make health care decisions than insurance		none_parsed
more realistic approach to the current funding shortfall our schools are facing		none_parsed
more reasonable amount		none_parsed
more specificity regarding the definition of "administrative costs." Another consideration is that		none_parsed
More than 9,000 anti-Asian incidents have been reported across the United		none_parsed
more than 90 cities		none_parsed
more than ever		none_parsed
more than five years after his conviction		none_parsed
more than four projects		none_parsed
more than one employer. Wal-Mart also	Wal-Mart	parsed
more than two shooters. Two bullets were recovered from the scene and expert testimony indicated that they came from two different guns		none_parsed
more time working with and observing the patient, especially in		none_parsed
more time-sensitive than testing a rape kit generated by a case, for		none_parsed
more to protect students from accessing inappropriate		none_parsed
more troublesome		none_parsed
more, others will shift more of the premium onto		none_parsed
Moreover in California, LWOP is not reserved for youth who commit the worst crimes or who show signs of being irredeemable criminals. Forty		none_parsed
Moreover, AFCC	AFCC	parsed
Moreover, CHA	CHA	parsed
Moreover, CLTA	CLTA	parsed
Moreover, consumers have robust protections under current elder abuse law, which provides for private, civil enforcement of		none_parsed
Moreover, DOF	DOF	parsed
Moreover, given the impact of recent budget reductions, in reduced class		none_parsed
Moreover, if the Legislature should make a public policy decision		none_parsed
Moreover, in the case of a traffic accident, where there are		none_parsed
Moreover, opponents of SB 1591	opponents of SB 1591	parsed
Moreover, post-realignment, the youngest parolees tend to be administered		none_parsed
Moreover, SB 103 would increase opportunities for public participation in		none_parsed
Moreover, the coalition	the coalition	parsed
Moreover, the nonpartisan Legislative Analyst's Office estimates that, by	Legislative Analyst's Office	parsed
Moreover, the opposition	the opposition	parsed
mortgage guaranty insurers to receive approval for rates	mortgage guaranty insurers	parsed
Mortgage Insurance Companies of America to address statutory surplus requirements for companies selling mortgage insurance	Mortgage Insurance Companies of America	parsed
most affordable		none_parsed
most enrollees who use insulin have cost-sharing under $50		none_parsed
most FDA-approved drugs appear almost immediately on plan		none_parsed
Most have sunset dates and must meet a minimum annual contribution to		none_parsed
Most letters were received prior to April 14 amendments which could affect		none_parsed
most likely, and the research is clear - these offenders will have a		none_parsed
Most likely, no single school mirrors the hypothetical one		none_parsed
Most major vehicle parts such as the engine block, transmission, frame, doors, and firewall sold in the United		none_parsed
most meat, dairy, poultry and seafood are potentially		none_parsed
most notable and substantial are facility expenses		none_parsed
most notably via her AB 995 (2020) which CCEEB was pleased	CCEEB	parsed
most of the data collected the first year focused on cost savings		none_parsed
Most of the data from observational studies in the United		none_parsed
Most of the issues related to this Committees jurisdiction were discussed above but as it pertains to other issues, the Alliance for Automotive Innovation	Alliance for Automotive Innovation	parsed
Most of the opposition purports that this measure is	the opposition	parsed
Most opposition arguments relate to a prior version		none_parsed
most people can take. By contrast, a large corporation can		none_parsed
Most RCDs receive little to no local tax dollars	RCDs	parsed
Most retailers sell other tangible personal property subject to sales and use tax. Collecting an additional tax from ammunition purchasers will		none_parsed
mothers in Africa: a pooled analysis. Lancet 364: 1236-1243		none_parsed
motivation for retailers to check the identification of a		none_parsed
Motorcycle dealers encourage the sales and installation of legal	Motorcycle dealers	parsed
motorcycle on the side of the road to prove the exhaust system is indeed labeled		none_parsed
motorcycles, and ensure that motorcycles on California roads operate with		none_parsed
move the CCC away from Field Act requirements endangers students and campus employees. PECG	PECG	parsed
moved more tonnage in 2008 than in 2006		none_parsed
Movement Action Plan of 2006. This plan, while useful, is now quite dated		none_parsed
movie within the state		none_parsed
moving death row to New Folsom ensued		none_parsed
moving regulation of health plans to, (a) a new		none_parsed
moving the programs to the Foundation, but is requesting		none_parsed
Mr. Banks filed a habeas corpus petition		none_parsed
Mr. Banks filed a habeas corpus petition and the court granted the petition on May 24		none_parsed
Mr. Banks pled no contest to the charge of forcible rape and was sentenced to six years in prison. In 2006		none_parsed
Mr. Ross filed a habeas corpus petition. Based new testimony		none_parsed
Mr. Ross filed a habeas corpus petition. Based on new testimony		none_parsed
MRMIB seek payment from Medi-Cal for Medi-Cal eligible	MRMIB	parsed
Ms. Mellen was convicted of first degree murder		none_parsed
MTC representation has not been proportional to population	MTC	parsed
