consideration to this issue when the next education			none_parsed
considered for sentencing purposes if a current offense			none_parsed
considering and choosing course materials to be used in connection with the accredited courses taught at those institutions. (2) "Publisher" means any publishing house, publishing firm, or publishing			none_parsed
considering the alarmingly high price tag of many new specialty drugs			none_parsed
considers lasers to be investigational devices and laser acupuncture to be experimental, the bill could			none_parsed
considers these factors when determining where to house inmates			none_parsed
considers these trades and professions significant enough to			none_parsed
consistency and fairness and to prevent favoritism and disparate treatment .... We do not			none_parsed
Consistent and complete disclosures about companies' climate-related financial risks would			none_parsed
Consistent with a provision already included in SB 402 and in an effort			none_parsed
consistent with relating to carcinogenicity, mutagenicity, and adverse effects on reproductive toxicity that is consistent			none_parsed
Consistent with the case law, this measure would clarify that multiple motions for summary judgment brought by the same party in the same case are prohibited, absent good cause			none_parsed
consistent with the underlying purpose of Proposition 13, which was			none_parsed
consistent, ensuring wrongful convictions are remedied quickly, and true			none_parsed
consistently shown that the reliability of eyewitness			none_parsed
consisting of the following groups			none_parsed
consolidation concerns. The LAPPL states, "Passage of AB 128 will make	LAPPL	parsed
consolidation more difficult to achieve. The City of LA has ONE (sic)	City of LA	parsed
Consolidation of BSIS funds			none_parsed
consolidation of the two programs would serve in the best			none_parsed
consolidation would reduce the administrative burden because			none_parsed
Consortium as a governing state. A total of 30 states have signed up to			none_parsed
constituents (utility customers). The association			none_parsed
constituents of the criminal justice system, including the public, can			none_parsed
constitute a reimbursable expense. Public employer opponents	Public employer opponents	parsed
constitute an 'abduction' for the purpose of AMBER Alert System			none_parsed
constitutes the practice of medicine, and the Board would have jurisdiction			none_parsed
Constitution and enshrined in California's Constitution for nearly fifty years, and has had a dramatic impact on the lives of women and families in the United			none_parsed
Constitution and the laws of the United			none_parsed
Constitution which			none_parsed
Constitution, which			none_parsed
Constitution, which requires two-thirds local voter approval for special			none_parsed
Constitution. While the Legislature can to shift property taxes between			none_parsed
constitutional amendment that dedicated proceeds from sale of surplus			none_parsed
constitutional and statutory prohibitions against overspending on service			none_parsed
constitutional due process/vagueness as well as fourth amendment			none_parsed
constitutional infirmities, denying the ability for all facts to be			none_parsed
constitutional problems in terms of separation of powers			none_parsed
constitutional protections for speech and association. Individuals have			none_parsed
constitutional reasons when it passed AB 340. Supporters conclude in	Supporters	parsed
constitutional right to choose to form a municipal utility			none_parsed
constitutional rights by forcing employers to recognize certain days as			none_parsed
constitutionally valid as it results in taxpayers paying higher taxes			none_parsed
construct, which is overseen by the Board of Behavioral Sciences and is protected from inappropriate usage under current law	Board of Behavioral Sciences	parsed
constructed buildings and that any increased costs from Field Act			none_parsed
constructed under the Field Act requirements have fared better in			none_parsed
Construction and property owner groups including the California Building Industry Association and the California Apartment Association are	California Building Industry Association and the California Apartment Association	parsed
construction and the requirements for 200-year protection would			none_parsed
construction in the development of the next bond act			none_parsed
construction litigation negatively impacts housing production			none_parsed
construction of the New Zoo will generate not only a short-term economic impact from its construction but would also deliver ongoing economic benefits that would			none_parsed
construction sector, leverage an additional $2.78 billion in federal, local and private investment and build nearly build nearly 10,000			none_parsed
constructive bargaining between the parties, and allowing either party to			none_parsed
construed to change the assumption of risk doctrine as it applies to ski			none_parsed
Consulate General of Canada expresses significant concerns with the bill observing the bill fails to recognize Canada	Consulate General of Canada	parsed
consult with various resources, including statewide			none_parsed
consultation with DMHC on the impact of any rate adjustment	DMHC	parsed
consultations, for which it requested introduction by the			none_parsed
Consulting directly with LGBTQ+ experts will allow CalOES to better understand how	CalOES	parsed
Consumer advocates have indicated strong support for	Consumer advocates	parsed
consumer assessment done in HFP. Prior to last year's budget			none_parsed
Consumer attorneys and other labor groups also	Consumer attorneys and other labor groups	parsed
Consumer Attorneys is pleased	Consumer Attorneys	parsed
consumer choice, and higher prices for personal training services. For			none_parsed
consumer costs for all dietary supplements, affecting millions			none_parsed
Consumer Federation of California to increase oversight of food safety	Consumer Federation of California	parsed
Consumer groups and provider representatives	Consumer groups and provider representatives	parsed
consumer groups to reduce barriers and increase access to mental health care services for the nearly 11 million individuals that are enrolled in MCMC plans	consumer groups	parsed
consumer objections to having information disclosed without			none_parsed
consumer participation on behalf of communities of color in the development			none_parsed
consumer protection issues			none_parsed
consumer protection role by allowing these provisions to be included in			none_parsed
Consumer Reports (CR) writes that although CR strongly	Consumer Reports	parsed
consumer safety reporter Public Citizen	Public Citizen	parsed
consumer's disposable income, remain exempt from the program. While			none_parsed
consumers and hospitals should not be placed in the position of having to			none_parsed
consumers and improve air quality			none_parsed
Consumers and industry experts have raised concerns about the repeated turnover of adjusters during the	Consumers and industry experts	parsed
consumers and other interested parties do not realize that the Secretary of State LLC filings are not tamperproof. In this day and age of privacy advocation and protections			none_parsed
consumers and purchasers, increases plan administrative costs, and will result in increased premiums for purchasers of high-deductible products. Opponents	Opponents	parsed
consumers and regulators			none_parsed
consumers at the time of purchase of a timber product			none_parsed
consumers can make apples-to-apples comparisons of services across hospitals			none_parsed
consumers have a right to know how their food is developed. Does the required label falsely imply that the food is somehow different or			none_parsed
consumers in paperwork to ensure all key rates, terms, and conditions are			none_parsed
consumers in these new developments have never been, nor ever			none_parsed
consumers it seeks to protect", stating "Passing AB 1447 will create a			none_parsed
consumers over the safety of products they purchase			none_parsed
Consumers Union and the Proposition 103 Enforcement Project are opposed to SB 1993 for a range of reasons. They	Consumers Union and the Proposition 103 Enforcement Project	parsed
Consumers Union, while generally supportive	Consumers Union	parsed
consumers who are in need of these certificates, many at a time, and are			none_parsed
Consumers who must borrow			none_parsed
consumers will have the opportunity to recover their costs when they			none_parsed
consumers with data that provides an accurate comparison and tells the whole story			none_parsed
consumers, and that adding burdensome and unnecessary			none_parsed
consumers, as it creates a far more arduous regulatory approval process			none_parsed
Consumers, however, will have no way to predict this, and might reasonably think that both			none_parsed
consumers." Similar concerns were express by the California District	California District	parsed
consuming water. Additionally, DHS	DHS	parsed
contacted this committee to formally register their opposition to the bill. However, some utilities that have entered into pipeline biomethane	some utilities	parsed
contain a mechanism to ensure that one employer does not become			none_parsed
contain confidentiality clauses, UC	UC	parsed
contain DMX, and the intent of the bill to fine a store or company for			none_parsed
contain provisions stating that the UC will not contract out for services	UC	parsed
contain various types of statistical data compiled from insurers in all 50			none_parsed
contained a provision allowing Medi-Cal's exemption			none_parsed
contained temporary disability indemnity benefits, 22% of the cases were issued citations because of late payments in			none_parsed
contained the provisions regarding MFTs that were subsequently amended into			none_parsed
container laws. This is not an issue of substantive law. This is an			none_parsed
containers in a secure location			none_parsed
containing information involving the date of the breach and the number of persons affected. These entities			none_parsed
containing specified provisions. The provisions in question include no			none_parsed
containing the date of the breach and the number of persons affected			none_parsed
containment provisions relating to hospital regulation, physician practice			none_parsed
containment. In addition, the elimination of other			none_parsed
contaminated by lead ammunition			none_parsed
contamination may lead to lost certification that achieves over three years and thousands of dollars to obtain. The drift of waste			none_parsed
contemporaneous conversations of drug dealers, organized crime suspects and persons who are suspects in murder cases. However, current law is			none_parsed
contend it is inappropriate for the union to seek changes in			none_parsed
contend providing an incentive for these efforts, through a tax credit on			none_parsed
contend that commercial vessels			none_parsed
contend that establishing a new felony creates the likelihood			none_parsed
contend that inspections would be more balanced, and accuracy			none_parsed
contend that SB 693 will unify state statutes regarding a "skilled and trained workforce" for public construction contracts using certain alternative delivery methods. They			none_parsed
contend that this measure could curtail abstinence-centered sex			none_parsed
contend that, "Pre-inspections for new dealerships, or for new			none_parsed
contend the bill will help to organize the intense stakeholder interest			none_parsed
contend the certification in the bill is overbroad and cost prohibitive and impractical for contractors. The opponents	The opponents	parsed
contend the MIC simply rewards activity that would take place			none_parsed
contend the project will endanger drinking water supplies and the San			none_parsed
contend the state's criminal justice system will be inundated with			none_parsed
contend the statute requiring MMPs is too broad and can result in an			none_parsed
contendere or finding of guilt. Any action which a board is			none_parsed
contends "the labyrinth of existing penalties are more than			none_parsed
contends it is inappropriate to afford the Public Safety			none_parsed
contends most, if not all of the bicycle plans, probably would qualify for			none_parsed
contends that			none_parsed
contends that "AB 106 is too complex in its provisions, and would be much simpler, and no doubt equally a effective, to			none_parsed
contends that "AB 106 is too complex in its provisions, and would be much simpler, and no doubt equally as effective, to			none_parsed
contends that "expansion of this new and controversial law is			none_parsed
contends that ''...there exists in California a robust apprenticeship			none_parsed
contends that ensuring the completion of infrastructure and air quality improvements in California is especially			none_parsed
contends that incentivizing drug treatment programming and aftercare for non-violent and non-serious inmates by			none_parsed
contends that increasing the set aside for low to moderate			none_parsed
contends that insufficient staff			none_parsed
contends that the substitution of priority toxic compounds			none_parsed
contends the adequacy of their electrical distribution systems is the responsibility of their elected boards, who are accountable to their			none_parsed
contends there is too little supporting evidence to continue			none_parsed
contends they need to ensure that inconsistencies in program implementation			none_parsed
content of the website and work with the TGI communities	TGI communities	parsed
contention that the technology is imminent and/or effective or practical			none_parsed
contested current issues in our state and nation, including			none_parsed
contested or denied. CAHP and ACLHIC state this provision ignores the fact that there are many legitimate reasons why a claim might be contested	CAHP and ACLHIC	parsed
context of food hardship, low CalFresh participation and recent cuts to			none_parsed
Contingency fee agreements make it less likely that a taxpayer will be			none_parsed
contingency fee basis. However, contingency fees, when used for tax			none_parsed
contingent upon the director of DDS certifying that those savings could be	DDS	parsed
continue			none_parsed
continue along a path to self sufficiency, and to expand			none_parsed
continue filling a critical function in the place of DMH clinical	DMH	parsed
continue in a year-over-year downward trend consistent with the average trend established between 2014 and 2017. (b) By July 1			none_parsed
continue to add costs to the health care system when costs			none_parsed
continue to be made at the local level - just like those for other legal			none_parsed
continue to coordinate dangerous criminal activity			none_parsed
continue to do. Instead of requiring each and every department, no			none_parsed
continue to meet on a regular basis			none_parsed
continue to provide the level of public services residents demand			none_parsed
continue to work with and local stakeholders on identifying			none_parsed
continue working in their chosen fire service career. They			none_parsed
continue working on a few remaining issues			none_parsed
continue working on the language while the bill is on the Suspense File			none_parsed
continue. Given the support of the stakeholders for a fee			none_parsed
