maintain financial stability in the face of daunting challenges. They			none_parsed
maintain high attendance rates. The additional			none_parsed
maintain or enhance a patient's sight through medication, therapy or similar procedures. Often, the only assistance			none_parsed
maintain stability and rebuild their lives. If sex offenders are able to			none_parsed
maintain that the bill is counter to the state's intention			none_parsed
maintain that while they support the goal of empowering students and parents to protect their privacy, this measure fails to			none_parsed
maintain the record of the offense in the Criminal Offender Record			none_parsed
maintain their role and hierarchical position in gangs. These inmates			none_parsed
maintained at the local level			none_parsed
maintained without resorting to paid donors, who are more			none_parsed
maintaining privacy and control of CURES data are inadequate to protect			none_parsed
maintaining the fee level first established seven years ago			none_parsed
maintaining the status quo. They also			none_parsed
maintaining their network of providers and ensuring access			none_parsed
Maintaining this infrastructure			none_parsed
maintains that fencing is not always available, feasible or			none_parsed
maintains that in fact, while federal law provides clear direction			none_parsed
maintains that local law enforcement often are not aware of the existence of the methadone clinics unless there is a			none_parsed
maintains that the 30-day review period is sufficient and that			none_parsed
maintains that this could severely compromise the states			none_parsed
maintains, or has access to, a computerized			none_parsed
maintenance standards that, in part, "assure decent and respectful treatment of human remains, and prevent offensive			none_parsed
major California law firms	major California law firms	parsed
major companies that provide shared mobility devices	major companies that provide shared mobility devices	parsed
Major General (CA. Ret.) State Director for California			none_parsed
major impact on tax return processing and possibly cause delays in the issuance of refunds			none_parsed
major industry organizations and the United Autoworkers of America	United Autoworkers of America	parsed
major provisions in this resolution only focus on voluntary identification programs while ignoring alternatives the disability community			none_parsed
majority of Americans			none_parsed
majority of regulations adopted before January 1, 2016, would be			none_parsed
majority of the money wagered in California would stay in the state for commissions, purses, breeder's awards, and state			none_parsed
majority of these federal funds will flow directly to the			none_parsed
make a determination as to whether a pupil is at risk			none_parsed
make informed decisions, the better it is for everyone involved			none_parsed
make it more difficult for consumers to learn critical			none_parsed
make post-conviction DNA testing more efficient, more effective, and more			none_parsed
make recommendations			none_parsed
make recommendations on simplifying the state's criminal and traffic fine and penalty assessments. Accordingly, it would appear that the addition			none_parsed
make the employee whole or impose stiff penalties of varying amounts, if			none_parsed
make the preliminary route choice, we			none_parsed
make their case with the voters via a ballot measure, rather than through legislation			none_parsed
make these FDA approved products available only with a prescription			none_parsed
make up 25% of these convictions and whites only 3.4			none_parsed
make up 25% of these convictions and whites only 3.4%. The California State Conference of the National Association for	California State Conference of the National Association for	parsed
make up the lost time or pay the financial penalties over			none_parsed
makes sense			none_parsed
makes written findings and adopts a resolution or ordinance on why the cost exceeds the specified caps			none_parsed
making a choice to favor defendants over victims by removing the restitution bar is a policy that goes too far and which our Association should			none_parsed
making informed choices about their medical care. UC	UC	parsed
making services available 24 hours a day, seven days a week			none_parsed
making significant changes			none_parsed
making their decision whether to cite the driver or not			none_parsed
making this a broad consumer protection/identity fraud issue that needs to be addressed			none_parsed
Making unsupported			none_parsed
making" capacity in the judicial selection and evaluation processes			none_parsed
malfeasance and abuse uncovered in the City of Bell only serves to further	City of Bell	parsed
malpractice cause of action against health plans but notes the bill fails to include health plans within "MICRA" protections			none_parsed
manage such operations. This input should allow both the local and state			none_parsed
managed bookstore to confirm the availability of the requested materials. (2) An employee or department at an institution of higher education			none_parsed
managed care department is needed and there is also broad			none_parsed
managed health care in California requires the establishment of a new, dedicated agency with enhanced			none_parsed
Management Agency is the designated agency for certifying sexual assault			none_parsed
management experience directing uniformed officers and investigations			none_parsed
Management Group (SMG), some of whom are included in the AB 1317	Management Group (SMG)	parsed
management laws, require regional waste management. These supporters add			none_parsed
management lawyers in labor and employment matters			none_parsed
management organization' is so broad that it could			none_parsed
management organizations who			none_parsed
management system created to ensure that the Department's			none_parsed
manager, estimates that abuse-deterrent opioids cost about three times as			none_parsed
managers (Huntington Beach, Newport Beach, Riverside, San Bernardino, Upland, Yorba Linda)			none_parsed
managers that these administrative bodies are comprised of established			none_parsed
manages approximately 8,000 PT Postponement accounts, with about $95			none_parsed
mandate an energy audit, but only directs CEC to develop the requirements	CEC	parsed
mandate and six states require vaccination at the age of six months			none_parsed
mandate for first time offenders. Nonetheless, the proponents of AB 2784			none_parsed
mandate in a 2,500 square foot home. SCE	SCE	parsed
mandate is redundant and unnecessary			none_parsed
mandate, arguing that the CVRA already provides significant leverage for			none_parsed
mandated items of questionable value. Chamber load indicators			none_parsed
mandated reporter is required to report only those situations where the reporter has reason to know or suspects abuse from sexual conduct between			none_parsed
mandated reporters, and revokes tax exempt status if an employee or			none_parsed
mandated the reduction and substitution of a number of chemicals (including some heavy metals and flame retardants)			none_parsed
mandates mean that people with health insurance have more			none_parsed
mandates on elementary schools but tends to divert the block grant cost-of-living augmentations to high school and unified school districts			none_parsed
mandates under federal law			none_parsed
mandates will only exacerbate PERS' advantage over the private market	PERS	parsed
mandating benefits, if even by a small amount, would have the far more serious consequence of leaving some children without			none_parsed
mandatory enhancement to those penalties diminishes even			none_parsed
mandatory mail order programs			none_parsed
mandatory prison sentences, there is no provision in the Penal Code that			none_parsed
mandatory spay/neuter ordinance in 1992, not only did the Animal Control			none_parsed
manifestly unfair. The primary function of insurers			none_parsed
manner for each and every taxpayer. Opponents also			none_parsed
manner inconsistent with the law and possibly dangerous to			none_parsed
manner that does not cause undue disruption to California insurance			none_parsed
manner?.Our members frequently settle civil matters when the cost of settlement is less than the cost of defense - even if			none_parsed
Manpower Demonstration Research Corporation has noted that retaining child	Manpower Demonstration Research Corporation	parsed
manuals besides the Highway Design Manual and California MUTCD, the only			none_parsed
manufacture, sell or offer to provide a deceptive			none_parsed
manufacture, transport, or distribute drugs			none_parsed
manufactured cigars			none_parsed
Manufacturers & Technology Association, Family	Manufacturers & Technology Association	parsed
manufacturers and contractors located here in California, support in			none_parsed
Manufacturers of medical inhalers	Manufacturers of medical inhalers	parsed
manufacturers of the indoor items that would presumably come under ARB regulation if control measures for indoor air contaminants are developed by the board			none_parsed
manufacturers, most notably the Motorcycle Industry Council and the Specialty Vehicle Institute of America, counter that the prohibitions	Motorcycle Industry Council and the Specialty Vehicle Institute of America	parsed
Manufacturing and Technology Association echoes IEP's concerns	Manufacturing and Technology Association	parsed
manufacturing equipment. AB 2280 was held in Committee on Revenue and Taxation			none_parsed
many are completely dependent on their caregivers			none_parsed
Many business organizations and businesses: throughout the zone Cal-Tax	Cal-Tax	parsed
Many Californians with busy schedules make the time to vote. The vote			none_parsed
many cases where injured workers have been paid substantially below the prevailing wage that the law required. While there is a wage remedy in			none_parsed
many civil rights advocacy organizations	many civil rights advocacy organizations	parsed
Many communities are likely to respond unfavorably to having condemned			none_parsed
many departments within their agencies, particularly counties, and are			none_parsed
Many DUI defense attorneys advise drivers to opt for a urine test	Many DUI defense attorneys	parsed
many EMS agencies are within the region served by the hospital			none_parsed
Many environmental and clean fuel organizations write	Many environmental and clean fuel organizations	parsed
Many families understand this and want			none_parsed
many hunting and gun rights organizations	many hunting and gun rights organizations	parsed
many individual churches and some businesses	many individual churches and some businesses	parsed
many industry groups and the California Chamber of Commerce	California Chamber of Commerce	parsed
Many issues have been addressed in this amended bill which			none_parsed
many local government entities	many local government entities	parsed
Many municipal utilities	Many municipal utilities	parsed
Many municipal utilities have expressed opposition	Many municipal utilities	parsed
many of California's 72 CCDs have collective bargaining agreements			none_parsed
Many of our physicians have reported harrowing stories of attempting			none_parsed
Many of these classified employees must			none_parsed
many of these districts are currently conducting needs assessments, this			none_parsed
MANY OF THOSE OPPOSED ARE REASSING POSITION WITH AMENDMENTS			none_parsed
many of which are not well-defined or feasible." WSPA	WSPA	parsed
many of which enjoy			none_parsed
many older furnaces are operating properly. Sempra	Sempra	parsed
Many opponents			none_parsed
Many organizations and individuals writing			none_parsed
