require their licensure by state agencies. The State should		none_parsed
require to manage their diabetes during the school day		none_parsed
require women to stay in the hospital longer -- merely that		none_parsed
required by federal law. All of the actions required of the local		none_parsed
required by section 81012, to index this threshold		none_parsed
required by the BPT to make this comparison, and then to	BPT	parsed
required for qualifying the measure. It also inserts the legislature		none_parsed
required for survivor benefits		none_parsed
required for treatment by medical personnel is severely restricted		none_parsed
required for voluntary withdrawal of membership. The group		none_parsed
required hospitals to at least annually review and consult		none_parsed
required in Penal Code 602.1(a)		none_parsed
required in the bill also considers only savings when facility costs are		none_parsed
required managed care organizations to make available to		none_parsed
required on these products		none_parsed
required payment under protest prior to seeking alternative dispute		none_parsed
required SDE to issue a legal advisory explicitly stating that school	SDE	parsed
required to admit that it has violated the law, and provide a remedy even		none_parsed
required to apply for the funds appropriated in this		none_parsed
required to be prepared and submitted under the bill. One of the reports that continues to be required under AB 79 is the HFP annual report		none_parsed
required to go through a time-consuming and therefore expensive		none_parsed
required to go through the same competitive grant process that		none_parsed
required to have all their employees undergo criminal background checks		none_parsed
required to inspect the parks with a history of the most serious		none_parsed
required to meet the same accessibility standards as nursing		none_parsed
required to register as a sex offender, has been found guilty of a		none_parsed
required to report to the governor and the Legislature annually		none_parsed
required to successfully construct and operate a high-speed train		none_parsed
required to use its Title I basic grant funds to provide transportation		none_parsed
required to work with the Department of Transportation (Caltrans) to develop the State Transportation	Department of Transportation (Caltrans)	parsed
required under current law. According to the WCLP, "One legal service	WCLP	parsed
required under existing law. Under such plans, health workers		none_parsed
required under the voluntary guidelines. CHA	CHA	parsed
required within the Adult System of Care. CMHDA and CSAC also add that, even if they had the expertise, it would not be appropriate to require	CMHDA and CSAC	parsed
requirement acts as a targeted restriction on abortion providers, or TRAP		none_parsed
requirement and were referred to district attorneys, 1,274 were found to		none_parsed
requirement and were referred to district attorneys, 505 had		none_parsed
requirement as a costly, cumbersome and unnecessary exercise that will		none_parsed
requirement be "directly related" to the individual's capacity and fitness to perform his duties. The ACLU	ACLU	parsed
requirement for preliminary approval by campus chief executive officers and formal approval by the governing boards of settlements and informal resolutions		none_parsed
requirement in AB 2877 that a health plan have a prior		none_parsed
requirement may actually result in higher premiums, reduce consumer choice, and reduce quality, because a cap on administration costs discourages		none_parsed
requirement provisions in the bill are effectively meaningless, and instead, impose a new burden of data collection on pet stores, non-profit		none_parsed
requirement that an individual participate in a one-year batterers treatment program)		none_parsed
requirement that those criteria actually be satisfied in order to		none_parsed
requirement was amended out		none_parsed
requirement. CAHSAH	CAHSAH	parsed
requirements		none_parsed
requirements are current and predictable is recommended. CMA suggests	CMA	parsed
requirements are not undermined		none_parsed
requirements are to be applied only on a prospective basis, and that		none_parsed
requirements as duplicative of existing ones, and indicate that despite		none_parsed
requirements based on risk assessment. Furthermore, CHA indicates	CHA	parsed
requirements being mandated by the European Union which has	European Union	parsed
requirements can lead to the imposition of financial		none_parsed
requirements for the city. Although charter cities can be made subject		none_parsed
requirements in the bill. According to the California Association of Suburban School Districts (CALSSD), "While it is completely appropriate	California Association of Suburban School Districts (CALSSD)	parsed
requirements necessary for workforce development		none_parsed
requirements only on the three investor-owned utilities and not on the municipal utilities. PG&E is also concerned that	PG&E	parsed
requirements place an additional administrative burden on school districts		none_parsed
requirements relating to slow and nonpayment of emergency		none_parsed
requirements such that the provision does not apply to small or		none_parsed
requirements that voting system software be escrowed for state		none_parsed
requirements threatens their ability to continue to provide		none_parsed
requirements were removed with the last set of amendments. ACSA has also	ACSA	parsed
requirements within the 60-day timeframe, thereby forcing a		none_parsed
requirements, and clarify cities' and counties' fee authority		none_parsed
requirements, and would not spur construction of new		none_parsed
requirements, not all of which are clear at this juncture. The Department of Education is currently working with stakeholders to	Department of Education	parsed
requirements, the need for which has not been demonstrated		none_parsed
requirements. As stated above, these provisions are being		none_parsed
requirements. CPIL	CPIL	parsed
requirements. Drivers' licenses and identification		none_parsed
requirements. In addition, SB 260 prohibits a contract between a		none_parsed
requirements. The Commission is currently working on a simpler POBAR		none_parsed
requirements. The federal government informed DSS that	DSS	parsed
requirements. The Youth Law Center	Youth Law Center	parsed
requirements. To obtain a certificate of eligibility from the Department		none_parsed
requirements. TURN suggests that, in lieu of this legislation, the PUC	TURN	parsed
requires		none_parsed
requires a background check and a 10-day waiting period prior to		none_parsed
requires a mechanism for equalizing the negotiating		none_parsed
requires a much broader parent and community involvement process than		none_parsed
requires a specified warning in all advertisements for		none_parsed
requires a stable and predictable customer base, and		none_parsed
requires all city, county, regional, or other local agencies, in the development and operation of bikeways, to adhere to only the design		none_parsed
requires an agent to		none_parsed
requires CDFA to provide funds to farming nonprofits	CDFA	parsed
requires cities and counties to provide to the Board		none_parsed
requires DHS to	DHS	parsed
requires health plans and health insurers to offer		none_parsed
Requires hospital employees regularly assigned to the emergency department		none_parsed
Requires hospitals to report acts of assault or battery, as specified		none_parsed
requires LWIA boards to spend 20% of their funds on training, beginning	LWIA boards	parsed
requires mitigation of loss or damage to natural resources when a project		none_parsed
requires negotiation parties to meet and actually confer with one another		none_parsed
requires persons who engage		none_parsed
requires PI schools that are Title I (which. primarily serve poor pupils) and in year one of PI to notify parents they can transfer pupils to other		none_parsed
requires replacement of these units in rental dwellings within six years, the driving problem with these furnaces is the safety issue, and not the energy-efficiency issue		none_parsed
requires review of complaints by one or more medical		none_parsed
requires school districts to establish a plan for allowing nonmedical		none_parsed
requires that Medi-Cal remain the primary safety net for		none_parsed
Requires that there be a uniform methodology to calculate the individual budgets		none_parsed
requires the attention of local planning processes and an		none_parsed
requires the behavior to be severe and pervasive		none_parsed
requires the PUC to establish a pay-as-you-save pilot program to finance	PUC	parsed
requires the working group to submit a report to the Legislature on or before January 1		none_parsed
Requires use of a single financial management system agency which must		none_parsed
Requiring a crime lab to test a rape kit within 30 days of receipt also		none_parsed
requiring a hospital to remain open would result in an		none_parsed
Requiring an individual in need of personal		none_parsed
Requiring authorizers to consider, in renewing a charter, the extent to		none_parsed
requiring employers to pay prevailing wages to their employees on certain		none_parsed
requiring financial transaction reports is a persistent problem. Each		none_parsed
requiring mediation and fact-finding prior to imposing a last, best and final offer would simply add costs and be unhelpful to both the employer and the employees		none_parsed
requiring state agencies to provide vendors notification of vendor		none_parsed
requiring suspended pupils to complete the work that		none_parsed
requiring the counseling provided for in this section, the court may make an affirmative finding to that effect. The court		none_parsed
Requiring the governing board of each participating agency to adopt a		none_parsed
requiring the hotline to provide other information, including		none_parsed
requiring the local agency undertaking condemnation to absorb		none_parsed
requiring the minor to admit to the allegation with the understanding		none_parsed
requiring their disciplinary proceedings to be in accordance		none_parsed
rerun election if a new election would further the purpose of the Agricultural Labor Relations Act		none_parsed
rescheduled		none_parsed
rescission after two years, except in the instance of fraud. Blue Shield	Blue Shield	parsed
rescission remedies are already available-and will be		none_parsed
research and technology development strategies, for AB 32 (the California Global Warming Solutions Act of 2006). These groups also oppose placing		none_parsed
research being brought into the state through federal and other grant sources		none_parsed
Research by the American Academy of Pediatrics (AAP)	American Academy of Pediatrics (AAP)	parsed
Research does NOT		none_parsed
Research Group, California School Employees	California School Employees	parsed
Research Group, Campaign to Safeguard America's	Campaign to Safeguard America's	parsed
research into a cure for homosexuality. In 1973, the American Psychiatric	American Psychiatric	parsed
Research on extreme sentence lengths offers little to no		none_parsed
research or administration		none_parsed
Research shows that incarcerated individuals who		none_parsed
research that involves destruction of human embryos or cloning of human embryos for purposes of deriving human stem cells and they		none_parsed
research work developed before EDD can provide an accurate cost estimate	EDD	parsed
research, but departments will require one or two semesters as a TA in		none_parsed
research, endangered species preservation and emergency food assistance		none_parsed
research, juvenile sex offenders are, in general, substantially different		none_parsed
research. They specifically		none_parsed
Researched and compiled from various sources by the Assembly Committee on Jobs, Economic Development, and the Economy	Assembly Committee on Jobs, Economic Development, and the Economy	parsed
reserve to fund the health care costs		none_parsed
reserved for the 'worst-of-the-worst' offenses. AB 520 restores this		none_parsed
reserved for truly exigent circumstances, and not reduced to a constant		none_parsed
reserving requirement. That requirement inappropriately tied up capital, and added nothing to the overall ability of the Insurance Commissioner to	Insurance Commissioner	parsed
residence		none_parsed
residence with a person who is prohibited from possessing a gun, may not		none_parsed
resident who wishes to leave a nursing home with a transition service		none_parsed
resident would be required to contact the police		none_parsed
residential care facility. The Association of California Life and Health Insurance Companies (ACLHIC), for example	Association of California Life and Health Insurance Companies (ACLHIC)	parsed
residential facility. Additionally, if the individual were to be accused		none_parsed
residents and employees of those centers. They		none_parsed
residents of Brandon Place Senior Apartments	residents of Brandon Place Senior Apartments	parsed
residents of El Rio and Strickland Acres	residents of El Rio and Strickland Acres	parsed
