Arguments in opposition The California Right to Life Committee, in opposition	California Right to Life Committee	parsed
Arguments in Opposition The California Tax Education Council, which opposes the bill unless it is amended	California Tax Education Council	parsed
Arguments in Opposition The California Tax Payers Association (CalTax), in an oppose position on a previous version of the bill	California Tax Payers Association (CalTax)	parsed
Arguments in Opposition The California Transit Association (CTA)	California Transit Association (CTA)	parsed
Arguments in Opposition The California Video & Broadband Association (CalBroadband)	California Video & Broadband Association (CalBroadband)	parsed
Arguments in Opposition The Center for Bioethics and Culture Network (CBCN)	Center for Bioethics and Culture Network (CBCN)	parsed
Arguments in Opposition The Chamber of Progress	Chamber of Progress	parsed
Arguments in Opposition The City and County of San Francisco	City and County of San Francisco	parsed
Arguments in Opposition The City of Huntington Beach	City of Huntington Beach	parsed
Arguments in Opposition The City of Norco	City of Norco	parsed
Arguments in Opposition The City of Ontario	City of Ontario	parsed
Arguments in Opposition The City of Salina	City of Salina	parsed
Arguments in Opposition The City of San Marcos	City of San Marcos	parsed
Arguments in Opposition The Civil Justice Association of California	Civil Justice Association of California	parsed
Arguments in Opposition The Civil Justice Association of California (CJAC) in opposition	Civil Justice Association of California (CJAC)	parsed
Arguments in Opposition The Consumer Brands Association	Consumer Brands Association	parsed
Arguments in Opposition The Consumer Federation of California is oppose unless amended and	Consumer Federation of California	parsed
Arguments in Opposition The County Behavioral Health Directors Association, in opposition	County Behavioral Health Directors Association	parsed
Arguments in Opposition The County of San Joaquin	County of San Joaquin	parsed
Arguments in Opposition The County Welfare Directors Association (CWDA) of California	County Welfare Directors Association (CWDA) of California	parsed
Arguments in opposition The Department of Finance	Department of Finance	parsed
Arguments in Opposition The Department of Finance in opposition	Department of Finance	parsed
Arguments in Opposition The Drug Policy Alliance (DPA) in an oppose position	Drug Policy Alliance (DPA)	parsed
Arguments in Opposition The Golden Gate Restaurant Association (GGRA)	Golden Gate Restaurant Association (GGRA)	parsed
Arguments in Opposition The International Health, Racquet, and Sportsclub Association	International Health, Racquet, and Sportsclub Association	parsed
Arguments in Opposition The National Council on Severe Autism	National Council on Severe Autism	parsed
Arguments in Opposition The Natural Products Association (NPA)	Natural Products Association (NPA)	parsed
Arguments in Opposition The Orange County Business Council	Orange County Business Council	parsed
Arguments in Opposition The Pacific Seafood Group	Pacific Seafood Group	parsed
Arguments in Opposition The Pharmaceutical Care Management Association (PCMA)	Pharmaceutical Care Management Association (PCMA)	parsed
Arguments in Opposition The Plastics Industry Association	Plastics Industry Association	parsed
Arguments in Opposition The Riverside County Transportation Commission	Riverside County Transportation Commission	parsed
Arguments in Opposition The UC	UC	parsed
